"customer_id","sum"
CD-11920,2033.9680
AF-10870,2052.9080
TS-21430,2054.1400
RB-19705,2067.4500
ML-17755,2071.9140
TG-21640,2074.6610
RH-19600,2085.7400
LC-17050,2095.0640
SH-20635,2096.3920
KC-16255,2120.9540
DN-13690,2139.7900
CR-12580,2148.8520
JD-15790,2152.3520
NM-18520,2161.9790
EJ-13720,2162.1740
HA-14905,2163.3000
TS-21160,2163.6240
RP-19855,2170.7160
DB-12910,2171.5990
KN-16450,2171.9620
SH-20395,2180.7180
PS-18760,2181.4790
BT-11395,2186.6130
GW-14605,2189.0190
TB-21280,2198.4500
EN-13780,2199.3660
JR-16210,2201.6860
JL-15235,2203.7000
MH-17785,2203.7780
PF-19225,2206.1280
DP-13105,2215.0020
MC-18100,2218.9800
NC-18415,2218.9900
GG-14650,2224.0000
AR-10405,2236.1280
LW-16825,2238.0610
JG-15310,2240.5800
TS-21505,2243.2740
KD-16615,2243.5100
MY-17380,2254.2850
JH-16180,2256.3940
MC-17605,2258.1920
KM-16225,2260.9580
BE-11410,2261.4380
CC-12670,2269.7015
FH-14350,2271.2840
JF-15190,2279.5860
KN-16705,2280.5800
LH-16900,2295.3320
MK-17905,2302.3680
CM-12235,2305.7120
DB-13210,2332.5770
EM-13825,2339.5980
RF-19735,2341.2960
MG-17680,2350.1880
CL-12700,2353.5860
AG-10495,2356.8550
JG-15115,2358.6760
NR-18550,2367.2770
CV-12805,2370.3136
JF-15415,2371.4480
CK-12595,2372.7500
XP-21865,2374.6580
DF-13135,2390.5340
MH-17290,2394.0250
TH-21100,2422.8240
MC-17590,2426.0670
BP-11095,2442.0440
MA-17995,2453.2840
GZ-14545,2454.6220
VM-21685,2454.8660
BS-11590,2454.9280
MH-17455,2456.1820
FM-14215,2456.6380
NC-18340,2461.4040
CC-12145,2471.6500
BP-11290,2475.1570
MN-17935,2477.9460
NZ-18565,2488.3100
PO-18865,2493.2140
AH-10465,2495.3916
DJ-13510,2501.6880
JS-16030,2516.4940
JB-16045,2518.1150
FM-14380,2523.2660
HF-14995,2533.1640
CM-12160,2533.3140
AC-10615,2537.6860
CC-12610,2540.6310
DE-13255,2550.8740
BS-11755,2562.3820
MZ-17515,2564.9060
EM-13810,2567.0100
BT-11305,2567.6560
NS-18505,2575.8630
SC-20695,2576.4080
LC-16870,2580.7040
AG-10270,2582.8980
HA-14920,2584.1580
SU-20665,2595.3640
SO-20335,2602.5755
KN-16390,2617.2720
RA-19285,2617.9060
LC-17140,2633.5820
CA-12265,2648.2872
DK-13090,2650.5570
EJ-14155,2656.6910
RB-19435,2663.0860
NH-18610,2673.2900
FO-14305,2678.4380
BO-11350,2682.7280
BT-11530,2684.4920
JE-16165,2697.2480
JK-15370,2709.6320
ML-17395,2722.8430
JL-15850,2725.2560
MC-17275,2725.9820
LL-16840,2741.2040
KB-16585,2744.7420
MM-18055,2749.8810
CS-12250,2754.2160
EB-13870,2767.2190
PF-19165,2770.0000
JC-15775,2772.0550
RD-19660,2786.6320
TB-21625,2797.6680
BG-11035,2798.9480
GH-14410,2819.4670
TS-21610,2820.4240
CV-12295,2830.6280
JM-16195,2833.9260
DB-12970,2839.2272
LS-16945,2845.2700
EA-14035,2846.7050
AW-10930,2852.9680
CC-12685,2854.1150
CC-12430,2870.0500
IM-15055,2872.6300
PV-18985,2876.0460
DS-13180,2881.8128
BF-11020,2888.5060
MT-17815,2890.1390
ND-18460,2893.4550
CY-12745,2900.0260
RD-19585,2912.8940
ML-17410,2921.5000
SW-20455,2921.5440
JK-16120,2932.4840
BC-11125,2933.6760
LT-17110,2936.2520
TH-21115,2942.7720
CK-12325,2945.3210
TM-21010,2955.2260
NS-18640,2964.8230
DB-13120,2973.0940
FA-14230,2984.0540
MH-18025,2984.9480
LS-16975,2988.6740
CS-11950,3036.5470
CA-12775,3041.5660
AS-10045,3050.6920
SL-20155,3053.0120
SS-20410,3056.8070
KT-16465,3057.1000
TG-21310,3058.3720
MG-18145,3061.5430
EB-14110,3071.1260
GM-14455,3078.6240
EH-14125,3082.6530
PG-18820,3086.9070
KH-16360,3100.6120
SG-20605,3124.8320
SN-20710,3127.9592
TN-21040,3130.2210
RD-19900,3133.9240
MS-17770,3144.6780
KB-16240,3152.6150
CK-12205,3154.8550
JM-15250,3159.1220
GM-14680,3163.6280
JL-15505,3173.8740
DG-13300,3195.8180
BT-11680,3196.7520
CS-12355,3202.1620
MP-17470,3206.1320
AS-10285,3214.2360
RS-19420,3221.2900
LW-16990,3230.3080
SR-20425,3233.4810
EB-13750,3236.3140
CT-11995,3241.8980
LC-16960,3246.6260
HG-14965,3247.6420
AH-10075,3250.3370
JO-15145,3254.9490
AS-10090,3255.3100
DK-12835,3256.4800
DL-12925,3272.2000
RW-19630,3279.7460
BS-11665,3288.1100
BD-11605,3288.4710
RR-19525,3302.2620
RF-19345,3309.1500
KH-16330,3312.8640
DK-13375,3318.4860
AP-10915,3323.5560
DC-12850,3336.1680
SF-20965,3336.5350
DV-13465,3341.5870
DJ-13630,3356.3980
VP-21760,3360.5260
SC-20020,3362.9636
TS-21655,3368.0940
SG-20080,3406.5810
SH-19975,3406.8395
FC-14245,3418.7420
SF-20200,3422.7860
PW-19030,3454.9160
ED-13885,3484.9200
AG-10675,3489.0396
RW-19690,3495.6460
ES-14020,3510.4580
DL-13495,3539.3220
GM-14440,3582.8200
TB-21175,3589.2960
RH-19495,3621.3760
SZ-20035,3625.3290
JP-15520,3635.5940
EB-13705,3644.9780
CS-12400,3651.8585
LP-17095,3653.3990
BP-11185,3675.8610
HG-15025,3690.2840
SC-20260,3729.7930
FM-14290,3736.1980
JK-16090,3747.6680
JK-15625,3760.0280
MD-17350,3766.3820
MG-17650,3785.2760
CA-11965,3789.7228
MM-17920,3794.0800
MC-17845,3805.7140
RO-19780,3815.4780
OT-18730,3818.6240
AT-10735,3831.8640
RA-19885,3832.3140
JS-15880,3868.0200
BS-11380,3887.8340
FC-14335,3889.3660
KC-16540,3908.2620
NP-18670,3908.4020
DB-13555,3908.8028
CC-12220,3913.4180
KH-16630,3918.9660
GA-14515,3919.7760
PW-19240,3922.4150
LF-17185,3930.5090
SJ-20125,3949.6560
SC-20305,3979.0650
MP-17965,3983.6420
CM-12715,3984.4524
SP-20920,3990.6890
FP-14320,4046.7460
DM-13345,4074.4720
SV-20785,4105.3050
PM-19135,4115.6620
MY-18295,4152.6960
RS-19765,4159.7700
GH-14425,4172.8460
JF-15565,4198.3320
BE-11335,4204.6760
TH-21550,4234.0960
CB-12535,4246.4555
FH-14275,4256.2720
AS-10225,4260.7840
TC-21295,4266.8120
RD-19480,4272.9300
DK-12895,4282.1760
SP-20860,4282.9400
MA-17560,4299.1610
ND-18370,4326.1390
SR-20740,4345.8860
GZ-14470,4355.1500
EB-13840,4358.1280
SC-20230,4371.9580
AI-10855,4375.7860
BD-11500,4411.2430
KW-16435,4416.5200
JK-15205,4427.1420
MC-17425,4432.1380
TP-21130,4454.0560
SC-20770,4492.6570
LC-16930,4492.9460
AJ-10795,4501.3910
AG-10900,4510.7970
AR-10825,4523.3360
DB-13060,4531.6460
EM-14140,4588.4360
SC-20050,4624.5720
KT-16480,4642.0884
DB-13270,4655.8970
ES-14080,4657.9240
RB-19465,4715.4660
GB-14575,4716.2880
TB-21520,4737.4860
BW-11110,4750.3580
JK-15640,4760.4340
SA-20830,4767.3415
RA-19915,4793.5430
DK-13225,4802.3940
AH-10210,4805.3440
JK-15730,4867.2000
AJ-10780,4867.3440
HK-14890,4877.7840
PO-19180,4893.0430
KM-16720,4909.4720
TT-21070,4915.6020
IM-15070,4930.4740
DH-13075,4932.8720
LB-16795,4985.6760
KL-16555,5016.4880
IL-15100,5040.7360
AA-10645,5086.9350
MP-18175,5087.9200
LR-16915,5142.8920
RP-19390,5153.0840
SC-20725,5226.2100
HR-14830,5248.7870
MW-18235,5253.8760
DW-13480,5271.6280
TW-21025,5278.8260
TP-21415,5329.0048
MW-18220,5341.9000
TT-21460,5364.8080
TS-21205,5371.0900
CP-12085,5402.2540
LW-17215,5420.5140
SP-20620,5440.3190
YC-21895,5454.3500
EP-13915,5478.0608
DP-13390,5480.7240
MH-18115,5503.0930
AC-10450,5527.8460
NP-18325,5529.6200
SM-20950,5563.3920
AA-10315,5563.5600
KM-16375,5620.1860
RB-19795,5633.3160
AM-10705,5664.0220
CS-12505,5690.0550
BD-11320,5718.5210
CP-12340,5888.2750
BF-11170,5907.9720
KH-16510,5952.8590
RM-19675,5979.0960
KH-16690,5990.7990
SC-20380,5992.5360
GM-14695,6049.9660
CB-12025,6076.1390
AD-10180,6106.8800
QJ-19255,6108.3380
SD-20485,6121.1140
VW-21775,6134.0380
WB-21850,6160.1020
RL-19615,6234.9100
BH-11710,6255.3510
MJ-17740,6320.7460
CM-12655,6339.5576
DM-13015,6345.1030
JG-15160,6366.3920
SB-20185,6410.9960
VD-21670,6442.2540
NM-18445,6459.3440
JA-15970,6491.0260
GK-14620,6497.2700
DR-12880,6528.0340
AR-10540,6608.4480
YS-21880,6720.4440
JE-15745,6760.8150
BB-11545,6765.7280
PS-19045,6843.6340
RH-19510,6979.1800
FH-14365,6987.1960
Dp-13240,7198.7610
NW-18400,7234.0140
PP-18955,7252.6080
BM-11650,7294.1850
RW-19540,7397.4010
MS-17365,7443.6900
PO-18850,7473.8282
JD-15895,7610.8640
JM-15865,7625.0760
LC-16885,7663.1260
JW-15220,7721.7140
JE-15610,7754.9760
AB-10060,7755.6200
AH-10690,7888.2940
NP-18700,7903.1825
JH-15985,7954.9980
ZC-21910,8025.7070
SB-20290,8057.8910
KD-16495,8181.2560
HM-14860,8236.7648
NC-18535,8241.7390
KD-16270,8282.3580
NF-18385,8322.8260
DR-12940,8350.8680
PK-19075,8646.9340
LA-16780,8673.2220
JE-15715,8697.8430
JD-16150,8828.0305
CM-12385,8954.0200
PF-19120,9062.8640
TB-21400,9133.9900
HW-14935,9300.2540
GT-14635,9351.2120
JL-15835,9799.9230
EH-13765,10310.8800
BS-11365,10501.6530
KF-16285,10604.2660
ME-17320,10663.7280
CL-12565,10880.5460
CJ-12010,11164.9740
SV-20365,11470.9500
BM-11140,11789.6300
GT-14710,11820.1200
TS-21370,11891.7510
CC-12370,12129.0720
SE-20110,12209.4380
HL-15040,12873.2980
SC-20095,14142.3340
KL-16645,14175.2290
AB-10105,14473.5710
TA-21385,14595.6200
RB-19360,15117.3390
TC-20980,19052.2180
SM-20320,25043.0500
